Ref,LEA Name,City,County,LEA Type,SB 978 Landing Page,Internet Archive Wayback URL,Policy Materials,Training Materials
SB978-223,Hercules Police Department,Hercules,Contra Costa County,Police,https://www.ci.hercules.ca.us/government/police/officer-training,https://wayback.archive-it.org/16422/*/https://www.ci.hercules.ca.us/government/police/officer-training,https://www.ci.hercules.ca.us/Home/ShowDocument?id=13285,https://www.ci.hercules.ca.us/government/police/officer-training
SB978-224,Hermosa Beach Police Department,Hermosa Beach,Los Angeles County,Police,https://www.hermosabeach.gov/our-government/city-departments/police/transparency,https://wayback.archive-it.org/16422/*/https://www.hermosabeach.gov/our-government/city-departments/police/transparency,https://www.hermosabeach.gov/Home/ShowDocument?id=13444,Not Available
SB978-226,Hillsborough Police Department,Hillsborough,San Mateo County,Police,https://www.hillsborough.net/512/Transparency-Policies-and-FAQ,https://wayback.archive-it.org/16422/*/https://www.hillsborough.net/512/Transparency-Policies-and-FAQ,https://www.hillsborough.net/DocumentCenter/View/3774/HPD-Policy-Manual-?bidId=,https://www.hillsborough.net/DocumentCenter/View/3775/HPD-FTO-Manual-UPDATED?bidId=
SB978-227,Hollister Police Department,Hollister,San Benito County,Police,http://hollister.ca.gov/wp-content/uploads/2020/01/Hollister_PD_Policy_Manual-RELEASE_20191226.pdf,https://wayback.archive-it.org/16422/*/http://hollister.ca.gov/wp-content/uploads/2020/01/Hollister_PD_Policy_Manual-RELEASE_20191226.pdf,http://hollister.ca.gov/wp-content/uploads/2020/01/Hollister_PD_Policy_Manual-RELEASE_20191226.pdf,Not Available
SB978-229,Humboldt County Sheriff's Department,Eureka,Humboldt County,Sheriff,https://humboldtgov.org/Search?searchPhrase=policy%20manual,https://wayback.archive-it.org/16422/*/https://humboldtgov.org/Search?searchPhrase=policy%20manual,https://humboldtgov.org/DocumentCenter/View/86838/HCSO-Policy-Manual,Not Available
SB978-128,Humboldt State University,Arcata,Humboldt County,College/University,https://police.humboldt.edu/policies-training,https://wayback.archive-it.org/16422/*/https://police.humboldt.edu/policies-training,https://police.humboldt.edu/sites/default/files/police/hsu_policy_manual.pdf,https://police.humboldt.edu/sites/default/files/police/detac.pdf
SB978-231,Huntington Beach Police Department,Huntington Beach,Orange County,Police,https://www.huntingtonbeachca.gov/government/departments/pd/about-us/ProfessionalStandardsUnit.cfm,https://wayback.archive-it.org/16422/*/https://www.huntingtonbeachca.gov/government/departments/pd/about-us/ProfessionalStandardsUnit.cfm,https://www.huntingtonbeachca.gov/government/departments/pd/documents/HBPD-Policy-Manual.pdf,Not Available
SB978-232,Huntington Park Police Department,Huntington Park,Los Angeles County,Police,http://hppolice.org/policies-training-materials-sb978/,https://wayback.archive-it.org/16422/*/http://hppolice.org/policies-training-materials-sb978/,http://hppolice.org/wp-content/uploads/2020/10/RELEASE_20200929_T175916_Huntington_Park_PD_Policy_Manual.pdf,http://hppolice.org/wp-content/uploads/2020/10/HPPD-FTP-Vol1-2020-SECURED.pdf
SB978-233,Huron Police Department,Huron,Fresno County,Police,http://cityofhuron.com/public-safety/,https://wayback.archive-it.org/16422/*/http://cityofhuron.com/public-safety/,http://cityofhuron.com/wp-content/uploads/2020/01/Huron_PD_Policy_Manual-002.pdf,Not Available
SB978-236,Imperial Police Department,Imperial,Imperial County,Police,https://www.cityofimperial.org/police,https://wayback.archive-it.org/16422/*/https://www.cityofimperial.org/police,https://www.cityofimperial.org/public_docs/Docs/IPD/IPD_Policy_Manual.pdf,Not Available
SB978-237,Indio Police Department,Indio,Riverside County,Police,https://www.indio.org/your_government/police/ipd/policy_manual.htm,https://wayback.archive-it.org/16422/*/https://www.indio.org/your_government/police/ipd/policy_manual.htm,https://www.indio.org/your_government/police/ipd/policy_manual.htm,Not Available
SB978-238,Inglewood Police Department,Inglewood,Los Angeles County,Police,https://www.cityofinglewood.org/DocumentCenter/View/15751/IPDPolicyManual-12302020,https://wayback.archive-it.org/16422/*/https://www.cityofinglewood.org/DocumentCenter/View/15751/IPDPolicyManual-12302020,https://www.cityofinglewood.org/DocumentCenter/View/15751/IPDPolicyManual-12302020,Not Available
SB978-241,Inyo County Sheriff's Department,Bishop,Inyo County,Sheriff,https://www.inyocounty.us/services/sheriff/policies,https://wayback.archive-it.org/16422/*/https://www.inyocounty.us/services/sheriff/policies,https://www.inyocounty.us/sites/default/files/2019-12/SO%20Policy.pdf,Not Available
SB978-242,Ione Police Department,Ione,Amador County,Police,https://www.ione-ca.com/services/type/police-department,https://wayback.archive-it.org/16422/*/https://www.ione-ca.com/services/type/police-department,https://www.ione-ca.com/images/pdfs/Police_Dept/RELEASE_2021_Ione_PD_Policy_Manual.pdf,Not Available
SB978-243,Irvine Police Department,Irvine,Orange County,Police,https://www.cityofirvine.org/irvine-police-department/policy-training,https://wayback.archive-it.org/16422/*/https://www.cityofirvine.org/irvine-police-department/policy-training,https://www.cityofirvine.org/irvine-police-department/department-policy-2021,https://www.cityofirvine.org/irvine-police-department/department-training-0
SB978-245,Irwindale Police Department,Irwindale,Los Angeles County,Police,https://www.irwindaleca.gov/360/Department-Policies,https://wayback.archive-it.org/16422/*/https://www.irwindaleca.gov/360/Department-Policies,https://www.irwindaleca.gov/DocumentCenter/View/5953/RELEASE_20200330_T150412_Irwindale_PD_Policy_Manual?bidId=,https://www.irwindaleca.gov/DocumentCenter/View/5955/IPD-Field-Training-Manual?bidId=
SB978-246,Jackson Police Department,Jackson,Amador County,Police,https://www.ci.jackson.ca.us/police_department.php,https://wayback.archive-it.org/16422/*/https://www.ci.jackson.ca.us/police_department.php,https://cms8.revize.com/revize/jacksonca/Document%20Center/City%20Services/Police/Jackson_PD_Policy_Manual.pdf,Not Available
SB978-247,Kensington Police Department,Kensington,Contra Costa County,Police,https://www.kppcsd.org/policies-and-procedures,https://wayback.archive-it.org/16422/*/https://www.kppcsd.org/policies-and-procedures,https://www.kppcsd.org/files/62246e0ce/RELEASE_20201230_T112129_Kensington_PD_Policy_Manual+%282%29.pdf,Not Available
SB978-248,Kerman Police Department,Kerman,Fresno County,Police,https://cityofkerman.net/police-department/,https://wayback.archive-it.org/16422/*/https://cityofkerman.net/police-department/,https://cityofkerman.net/wp-content/uploads/2020/08/RELEASE_20200722_T124322_Policy_Manual.pdf,Not Available
SB978-251,Kern County Sheriff's Department,Bakersfield,Kern County,Sheriff,https://www.kernsheriff.org/Policies,https://wayback.archive-it.org/16422/*/https://www.kernsheriff.org/Policies,https://www.kernsheriff.org/Policies,Not Available
SB978-253,King City Police Department,King City,Monterey County,Police,http://www.kingcity.com/city-departments/police-department/,https://wayback.archive-it.org/16422/*/http://www.kingcity.com/city-departments/police-department/,http://www.kingcity.com/wp-content/uploads/2015/03/King-City-Police-Department-Policy-Manual.pdf,Not Available
SB978-256,Kings County Sheriff's Department,Hanford,Kings County,Sheriff,https://www.countyofkings.com/departments/public-safety/sheriff,https://wayback.archive-it.org/16422/*/https://www.countyofkings.com/departments/public-safety/sheriff,https://www.countyofkings.com/home/showpublisheddocument?id=25378,Not Available
SB978-257,Kingsburg Police Department,Kingsburg,Fresno County,Police,https://www.cityofkingsburg-ca.gov/163/Police-Department,https://wayback.archive-it.org/16422/*/https://www.cityofkingsburg-ca.gov/163/Police-Department,https://www.cityofkingsburg-ca.gov/DocumentCenter/View/1416/_Kingsburg_Police_Department_Policy_Manualpdf,Not Available
SB978-258,La Habra Police Department,La Habra,Orange County,Police,https://www.lahabracity.com/1098/Policies,https://wayback.archive-it.org/16422/*/https://www.lahabracity.com/1098/Policies,https://www.lahabracity.com/DocumentCenter/View/11215/LHPD-Policy-Manual-Updated-120920,Not Available
SB978-259,La Mesa Police Department,La Mesa,San Diego County,Police,https://www.cityoflamesa.us/1594/Police-Policies-and-Training-Materials,https://wayback.archive-it.org/16422/*/https://www.cityoflamesa.us/1594/Police-Policies-and-Training-Materials,https://www.cityoflamesa.us/1595/Department-Instructions,https://www.cityoflamesa.us/1597/Training-Materials
SB978-260,La Palma Police Department,La Palma,Orange County,Police,https://www.cityoflapalma.org/157/Operations-Division,https://wayback.archive-it.org/16422/*/https://www.cityoflapalma.org/157/Operations-Division,https://www.cityoflapalma.org/DocumentCenter/View/9623/Policy-Manual-Public-Version,Not Available
SB978-261,La Verne Police Department,La Verne,Los Angeles County,Police,https://www.lvpd.org/#Policy_Manual,https://wayback.archive-it.org/16422/*/https://www.lvpd.org/#Policy_Manual,https://www.lvpd.org/uploads/files/RELEASE_20201229_T140612_La_Verne_PD_Policy_Manual.pdf,https://www.lvpd.org/uploads/files/FTO%20Manual.pdf
