Ref,LEA Name,City,County,LEA Type,SB 978 Landing Page,Internet Archive Wayback URL,Policy Materials,Training Materials
SB978-314,Mendota Police Department,Mendota,Fresno County,Police,https://www.ci.mendota.ca.us/police-department/,https://wayback.archive-it.org/16422/*/https://www.ci.mendota.ca.us/police-department/,http://ci.mendota.ca.us/wp-content/uploads/2014/09/Mendota_PD_CA_Policy_Manual_20191110.pdf,https://ci.mendota.ca.us/wp-content/uploads/2014/09/Mendota-PD-Training-Information.pdf
SB978-315,Menifee Police Department,Menifee,Riverside County,Police,https://menifeepolice.org/,https://wayback.archive-it.org/16422/*/https://menifeepolice.org/,https://menifeepolice.org/wp-content/uploads/2021/01/RELEASE_20201209_T175839_Menifee_Police_Department_Policy_Manual.pdf,Not Available
SB978-316,Menlo Park Police Department,Menlo Park,San Mateo County,Police,https://www.menlopark.org/950/Department-policies,https://wayback.archive-it.org/16422/*/https://www.menlopark.org/950/Department-policies,https://www.menlopark.org/DocumentCenter/View/27049/Menlo_Park_PD_Policy_Manual-12-31-2020,Not Available
SB978-317,Merced Community College Police Department,Merced,Merced County,College/University,http://www.mccd.edu/resources/police/,https://wayback.archive-it.org/16422/*/http://www.mccd.edu/resources/police/,http://www.mccd.edu/resources/police/downloads/use-of-force.pdf,Not Available
SB978-319,Merced County Sheriff's Department,Merced,Merced County,Sheriff,https://www.co.merced.ca.us/3318/Sheriffs-Office-Policy,https://wayback.archive-it.org/16422/*/https://www.co.merced.ca.us/3318/Sheriffs-Office-Policy,https://www.co.merced.ca.us/DocumentCenter/View/25205/Merced-Sheriff-Policy-Manual-7-27-2020,https://www.co.merced.ca.us/3319/Sheriffs-Office-Training
SB978-320,Merced Police Department,Merced,Merced County,Police,https://www.cityofmerced.org/departments/police/transparency,https://wayback.archive-it.org/16422/*/https://www.cityofmerced.org/departments/police/transparency,https://www.cityofmerced.org/Home/ShowDocument?id=10635,https://www.cityofmerced.org/departments/police/transparency
SB978-321,Mill Valley Police Department,Mill Valley,Marin County,Police,https://www.cityofmillvalley.org/police/sb_978_compliance_.htm,https://wayback.archive-it.org/16422/*/https://www.cityofmillvalley.org/police/sb_978_compliance_.htm,https://www.cityofmillvalley.org/civicax/filebank/blobdload.aspx?t=37414.18&BlobID=34534,https://www.cityofmillvalley.org/police/sb_978_compliance_.htm
SB978-323,Milpitas Police Department,Milpitas,Santa Clara County,Police,http://www.iceoutofca.org/ca-countycity-policies.html,https://wayback.archive-it.org/16422/*/http://www.iceoutofca.org/ca-countycity-policies.html,http://www.iceoutofca.org/uploads/2/5/4/6/25464410/mpd_policy_manual_2019.pdf,Not Available
SB978-324,MiraCosta Community College District Police Department,Oceanside,San Diego County,College/University,https://miracosta.edu/administrative/college-police/training-and-compliance.html,https://wayback.archive-it.org/16422/*/https://miracosta.edu/administrative/college-police/training-and-compliance.html,https://miracosta.edu/administrative/college-police/_docs/MCPD%20PP%20Manual.pdf,https://miracosta.edu/administrative/college-police/training-and-compliance.html
SB978-325,Modesto Police Department,Modesto,Stanislaus County,Police,https://www.modestogov.com/2503/Policy-Manual-and-Training-Materials,https://wayback.archive-it.org/16422/*/https://www.modestogov.com/2503/Policy-Manual-and-Training-Materials,https://www.modestogov.com/DocumentCenter/View/15365/Modesto-Police-Department-Policy-Manual-Printable-PDF,https://www.modestogov.com/2503/Policy-Manual-and-Training-Materials
SB978-326,Modoc County Sheriff's Department,Alturas,Modoc County,Sheriff,https://www.modocsheriff.us/sheriffs-office,https://wayback.archive-it.org/16422/*/https://www.modocsheriff.us/sheriffs-office,https://www.modocsheriff.us/sites/g/files/vyhlif921/f/uploads/release_20190807_t143748_modoc_county_so_policy_manual.pdf,Not Available
SB978-328,Mono County Sheriff's Department,Bridgeport,Mono County,Sheriff,https://monosheriff.org/sheriff/page/sb-978-policy,https://wayback.archive-it.org/16422/*/https://monosheriff.org/sheriff/page/sb-978-policy,https://monosheriff.org/sites/default/files/fileattachments/sheriff_-_coroner/page/8062/mono_county_sheriff_patrol_policy_manual_.pdf,Not Available
SB978-329,Monrovia Police Department,Monrovia,Los Angeles County,Police,https://www.cityofmonrovia.org/your-government/police-department/policies-procedures,https://wayback.archive-it.org/16422/*/https://www.cityofmonrovia.org/your-government/police-department/policies-procedures,https://www.cityofmonrovia.org/home/showpublisheddocument?id=21732,https://www.cityofmonrovia.org/home/showpublisheddocument?id=21730
SB978-330,Montclair Police Department,Montclair,San Bernardino County,Police,https://www.cityofmontclair.org/senate-bill-978-cpc-13650/,https://wayback.archive-it.org/16422/*/https://www.cityofmontclair.org/senate-bill-978-cpc-13650/,https://storage.googleapis.com/proudcity/montclairca/uploads/2021/03/MPD-Policy-Manual.pdf,https://www.cityofmontclair.org/senate-bill-978-cpc-13650/
SB978-331,Montebello Police Department,Montebello,Los Angeles County,Police,https://montebellopd.org/about,https://wayback.archive-it.org/16422/*/https://montebellopd.org/about,https://montebellopd.org/downloads/montebello-pd-policy-june-2020.pdf,https://montebellopd.org/downloads/montebello-pd-training-policy.pdf
SB978-334,Monterey County Sheriff's Department,Monterey,Monterey County,Sheriff,https://montereysheriff.org/department-manual/,https://wayback.archive-it.org/16422/*/https://montereysheriff.org/department-manual/,https://montereysheriff.org/wp-content/uploads/2020/07/RELEASE_20200624_T110420_Monterey-County-SO-Policy-Manual.pdf,Not Available
SB978-335,Monterey Park Police Department,Monterey Park,Los Angeles County,Police,http://www.montereypark.ca.gov/1288/Training-Materials,https://wayback.archive-it.org/16422/*/http://www.montereypark.ca.gov/1288/Training-Materials,http://www.montereypark.ca.gov/DocumentCenter/View/11254/Monterey-Park-PD-Policy-Manual,http://www.montereypark.ca.gov/1288/Training-Materials
SB978-337,Monterey Police Department,Monterey,Monterey County,Police,https://www.monterey.org/police/Policies-Procedures-and-Training,https://wayback.archive-it.org/16422/*/https://www.monterey.org/police/Policies-Procedures-and-Training,https://www.monterey.org/Portals/4/SB978/MPD-Policy-Manual.pdf,https://www.monterey.org/police/Policies-Procedures-and-Training
SB978-339,Moraga Police Department,Moraga,Contra Costa County,Police,https://police.moraga.ca.us/documents/,https://wayback.archive-it.org/16422/*/https://police.moraga.ca.us/documents/,https://police.moraga.ca.us/documents/MPD_Policy_Manual.pdf,Not Available
SB978-340,Morgan Hill Police Department,Morgan Hill,Santa Clara County,Police,https://morgan-hill.ca.gov/1943/Morgan-Hill-Police-Department-Training-D,https://wayback.archive-it.org/16422/*/https://morgan-hill.ca.gov/1943/Morgan-Hill-Police-Department-Training-D,https://morgan-hill.ca.gov/DocumentCenter/View/35897/Morgan-Hill-Police-Department-Policy-Manual,https://morgan-hill.ca.gov/1943/Morgan-Hill-Police-Department-Training-D
SB978-341,Morro Bay Police Department,Morro Bay,San Luis Obispo County,Police,https://www.morro-bay.ca.us/128/Police,https://wayback.archive-it.org/16422/*/https://www.morro-bay.ca.us/128/Police,https://www.morro-bay.ca.us/DocumentCenter/View/13965/Morro-Bay-Police-Department-Policy-Manual-Jan-2020,Not Available
SB978-342,Mountain View Police Department,Mountain View,Santa Clara County,Police,https://mvpdpublicrecords.org/(X(1)S(hscoqks12kjilguf4ftv4irl))/default.aspx?AspxAutoDetectCookieSupport=1,https://wayback.archive-it.org/16422/*/https://mvpdpublicrecords.org/(X(1)S(hscoqks12kjilguf4ftv4irl))/default.aspx?AspxAutoDetectCookieSupport=1,https://mvpdpublicrecords.org/(X(1)S(hscoqks12kjilguf4ftv4irl))/default.aspx?AspxAutoDetectCookieSupport=1,https://mvpdpublicrecords.org/(X(1)S(hscoqks12kjilguf4ftv4irl))/default.aspx?AspxAutoDetectCookieSupport=1
SB978-345,Mt. Shasta Police Department,Mt. Shasta,Siskiyou County,Police,https://mtshastaca.gov/police/,https://wayback.archive-it.org/16422/*/https://mtshastaca.gov/police/,https://mtshastaca.gov/wp-content/uploads/2020/07/RELEASE_20200708_T170531_Mount_Shasta_PD_Policy_Manual.pdf,Not Available
SB978-346,Murrieta Police Department,Murrieta,Riverside County,Police,https://www.murrietaca.gov/860/Senate-Bill-978,https://wayback.archive-it.org/16422/*/https://www.murrietaca.gov/860/Senate-Bill-978,https://www.murrietaca.gov/DocumentCenter/View/1872/Murrieta-Police-Department-Policy-Manual,https://www.murrietaca.gov/860/Senate-Bill-978
SB978-348,Napa County Sheriff's Department,Napa,Napa County,Sheriff,https://www.countyofnapa.org/2729/Policy,https://wayback.archive-it.org/16422/*/https://www.countyofnapa.org/2729/Policy,https://www.countyofnapa.org/DocumentCenter/View/15565/Napa-County-SO-Policy-Manual-RELEASE_20191025_T105040,https://www.countyofnapa.org/2729/Policy
SB978-349,Napa Police Department,Napa,Napa County,Police,https://www.cityofnapa.org/889/Napa-Police-Department-Policies-and-Trai,https://wayback.archive-it.org/16422/*/https://www.cityofnapa.org/889/Napa-Police-Department-Policies-and-Trai,https://www.cityofnapa.org/DocumentCenter/View/6053/Napa-Police-Department-Manual-PDF,Not Available
SB978-350,Napa Valley College Police Department,Napa,Napa County,College/University,https://www.napavalley.edu/studentaffairs/Police/Pages/Police-Policy-and-Training.aspx,https://wayback.archive-it.org/16422/*/https://www.napavalley.edu/studentaffairs/Police/Pages/Police-Policy-and-Training.aspx,https://www.napavalley.edu/studentaffairs/Police/PublishingImages/Pages/Police-Policy-and-Training/Napa%20Valley%20Community%20College%20District.pdf,https://www.napavalley.edu/studentaffairs/Police/Pages/Police-Policy-and-Training.aspx
SB978-351,National City Police Department,National City,San Diego County,Police,https://www.nationalcityca.gov/government/police/department-policies-and-training,https://wayback.archive-it.org/16422/*/https://www.nationalcityca.gov/government/police/department-policies-and-training,https://www.nationalcityca.gov/Home/ShowDocument?id=23000,https://www.nationalcityca.gov/government/police/department-policies-and-training
SB978-352,Nevada City Police Department,Nevada City,Nevada County,Police,https://www.nevadacityca.gov/search.aspx?usterms=policy,https://wayback.archive-it.org/16422/*/https://www.nevadacityca.gov/search.aspx?usterms=policy,https://www.nevadacityca.gov/files/documents/PolicePolicyManual1330045714012320PM.pdf,Not Available
SB978-354,Nevada County Sheriff's Department,Nevada City,Nevada County,Sheriff,https://www.mynevadacounty.com/2875/Policies---SB-978,https://wayback.archive-it.org/16422/*/https://www.mynevadacounty.com/2875/Policies---SB-978,https://www.mynevadacounty.com/2875/Policies---SB-978,https://www.mynevadacounty.com/2891/SB978-Operations-Training
SB978-355,Newark Police Department,Newark,Alameda County,Police,https://www.newark.org/departments/police/administrative-divisions/policy-manual,https://wayback.archive-it.org/16422/*/https://www.newark.org/departments/police/administrative-divisions/policy-manual,https://www.newark.org/departments/police/administrative-divisions/policy-manual,Not Available
SB978-356,Newman Police Department,Newman,Stanislaus County,Police,http://www.cityofnewman.com/departments/police/e-docs.html,https://wayback.archive-it.org/16422/*/http://www.cityofnewman.com/departments/police/e-docs.html,http://www.cityofnewman.com/docman/police-department/1094-newman-police-department-policy-manual-1/file.html,Not Available
SB978-357,Newport Beach Police Department,Newport Beach,Orange County,Police,http://www.nbpd.org/community/policies_and_training/default.asp,https://wayback.archive-it.org/16422/*/http://www.nbpd.org/community/policies_and_training/default.asp,http://www.nbpd.org/civica/filebank/blobdload.asp?BlobID=2847,http://www.nbpd.org/community/policies_and_training/default.asp
SB978-358,Novato Police Department,Novato,Marin County,Police,https://www.novato.org/government/police-department/transparency,https://wayback.archive-it.org/16422/*/https://www.novato.org/government/police-department/transparency,https://www.novato.org/home/showpublisheddocument?id=31957,Not Available
SB978-359,Oakdale Police Department,Oakdale,Stanislaus County,Police,https://www.oakdalegov.com/police,https://wayback.archive-it.org/16422/*/https://www.oakdalegov.com/police,https://cd0a8178-e84d-4094-bd32-556946c778d2.filesusr.com/ugd/49e361_e33bb08da0254db5be68478806665329.pdf,https://post.ca.gov/
SB978-361,Oakland Police Department,Oakland,Alameda County,Police,https://www.oaklandca.gov/resources/inside-the-oakland-police-department-opd,https://wayback.archive-it.org/16422/*/https://www.oaklandca.gov/resources/inside-the-oakland-police-department-opd,https://powerdms.com/public/OAKLAND/tree/documents/1878808,https://powerdms.com/public/OAKLAND/tree/documents/1878808
SB978-363,Oakley Police Department,Oakley,Contra Costa County,Police,https://www.ci.oakley.ca.us/departments/police/police-department-documents/,https://wayback.archive-it.org/16422/*/https://www.ci.oakley.ca.us/departments/police/police-department-documents/,https://www.ci.oakley.ca.us/departments/police/police-department-documents/,Not Available
SB978-365,Oceanside Police Department,Oceanside,San Diego County,Police,https://www.ci.oceanside.ca.us/gov/police/transparency/sb978.asp,https://wayback.archive-it.org/16422/*/https://www.ci.oceanside.ca.us/gov/police/transparency/sb978.asp,https://www.ci.oceanside.ca.us/gov/police/transparency/sb978.asp,https://www.ci.oceanside.ca.us/gov/police/transparency/sb978.asp
SB978-366,Oceanside Police Department Harbor Unit,Oceanside,San Diego County,Police,https://www.ci.oceanside.ca.us/gov/police/transparency/sb978.asp,https://wayback.archive-it.org/16422/*/https://www.ci.oceanside.ca.us/gov/police/transparency/sb978.asp,https://www.ci.oceanside.ca.us/gov/police/transparency/sb978.asp,https://www.ci.oceanside.ca.us/gov/police/transparency/sb978.asp
SB978-367,Ohlone Community College District Police Department,Fremont,Alameda County,College/University,https://www.ohlone.edu/cps,https://wayback.archive-it.org/16422/*/https://www.ohlone.edu/cps,https://www.ohlone.edu/sites/default/files/groups/Campus_Police_Services/documents/cps_guidelines_and_procedures.pdf,Not Available
SB978-368,Ontario Police Department,Ontario,San Bernardino County,Police,https://cityofontario.app.box.com/v/OntarioPolicePublicRecords,https://wayback.archive-it.org/16422/*/https://cityofontario.app.box.com/v/OntarioPolicePublicRecords,https://cityofontario.app.box.com/v/OntarioPolicePublicRecords,https://cityofontario.app.box.com/v/OntarioPolicePublicRecords
SB978-370,Orange County District Attorney,Santa Ana,Orange County,District Attorney,http://orangecountyda.org/media/default.asp,https://wayback.archive-it.org/16422/*/http://orangecountyda.org/media/default.asp,http://orangecountyda.org/civicax/filebank/blobdload.aspx?blobid=23790,Not Available
SB978-371,"Orange County District Attorney, Public Assistance Fraud ",Santa Ana,Orange County,District Attorney,http://orangecountyda.org/media/default.asp,https://wayback.archive-it.org/16422/*/http://orangecountyda.org/media/default.asp,http://orangecountyda.org/civicax/filebank/blobdload.aspx?blobid=23790,Not Available
SB978-373,Orange County Sheriff's Department/Coroner,Santa Ana,Orange County,Sheriff,https://www.ocsheriff.gov/about-ocsd/policies/sb978,https://wayback.archive-it.org/16422/*/https://www.ocsheriff.gov/about-ocsd/policies/sb978,https://www.ocsheriff.gov/about-ocsd/policies/sb978/departments-manual,Not Available
SB978-374,Orange Cove Police Department,Orange Cove,Fresno County,Police,http://cityoforangecove.com/orange-cove-police-department-policy-manual/,https://wayback.archive-it.org/16422/*/http://cityoforangecove.com/orange-cove-police-department-policy-manual/,http://cityoforangecove.com/wp-content/uploads/2020/01/RELEASE_20190702_T131845_Orange_Cove_PD_Policy_Manual-1-1-4.pdf,Not Available
SB978-375,Orange Police Department,Orange,Orange County,Police,https://citydocs.cityoforange.org/OrangePD/Browse.aspx?cr=1,https://wayback.archive-it.org/16422/*/https://citydocs.cityoforange.org/OrangePD/Browse.aspx?id=61300&repo=OrangePD&cr=1,https://citydocs.cityoforange.org/OrangePD/DocView.aspx?id=69633&dbid=0&repo=OrangePD,https://citydocs.cityoforange.org/OrangePD/Browse.aspx?id=61300&repo=OrangePD&cr=1
SB978-376,Orland Police Department,Orland,Glenn County,Police,http://cityoforland.com/govt/dept/police/resources_links.asp,https://wayback.archive-it.org/16422/*/http://cityoforland.com/govt/dept/police/resources_links.asp,http://cityoforland.com/_documents/RELEASE_20180327_T123910_Orland_PD_Policy_Manual.pdf,http://cityoforland.com/_documents/OPDFTM20191227195003489.pdf
SB978-377,Oroville Police Department,Oroville,Butte County,Police,https://www.cityoforoville.org/services/policy,https://wayback.archive-it.org/16422/*/https://www.cityoforoville.org/services/policy,https://www.cityoforoville.org/home/showpublisheddocument?id=19438,https://www.cityoforoville.org/services/policy
SB978-378,Oxnard Police Department,Oxnard,Ventura County,Police,https://sites.google.com/oxnardpd.org/sb-978/sb-978,https://wayback.archive-it.org/16422/*/https://sites.google.com/oxnardpd.org/sb-978/sb-978,https://www.oxnardpd.org/wp-content/uploads/2020/05/2020-OPD-Policy-Manual-R.pdf,https://sites.google.com/oxnardpd.org/sb-978/sb-978
SB978-379,Pacific Grove Police Department,Pacific Grove,Monterey County,Police,https://www.cityofpacificgrove.org/public-safety/police/policies-manuals-and-training-outlines,https://wayback.archive-it.org/16422/*/https://www.cityofpacificgrove.org/public-safety/police/policies-manuals-and-training-outlines,https://www.cityofpacificgrove.org/sites/default/files/general-documents/policies-manuals-and-training-outlines/release_20210218_t170252_pacific_grove_police_dept_policy_manual.pdf,https://www.cityofpacificgrove.org/public-safety/police/policies-manuals-and-training-outlines
SB978-381,Pacifica Police Department,Pacifica,San Mateo County,Police,https://www.cityofpacifica.org/depts/police/sb_978_public_records/default.asp,https://wayback.archive-it.org/16422/*/https://www.cityofpacifica.org/depts/police/sb_978_public_records/default.asp,https://powerdms.com/public/PacificaPD/tree,https://powerdms.com/public/PacificaPD/tree
SB978-382,Palm Springs Police Department,Palm Springs,Riverside County,Police,https://www.palmspringsca.gov/government/departments/police/policies-procedures-training-manuals,https://wayback.archive-it.org/16422/*/https://www.palmspringsca.gov/government/departments/police/policies-procedures-training-manuals,https://www.palmspringsca.gov/home/showpublisheddocument?id=71321,Not Available
SB978-383,Palo Alto Police Department,Palo Alto,Santa Clara County,Police,https://www.cityofpaloalto.org/gov/depts/pol/public_information_portal_.asp,https://wayback.archive-it.org/16422/*/https://www.cityofpaloalto.org/gov/depts/pol/public_information_portal_.asp,https://www.cityofpaloalto.org/civicax/filebank/blobdload.aspx?t=42518.43&BlobID=80123,Not Available
SB978-385,Palos Verdes Estates Police Department,Palos Verdes Estates,Los Angeles County,Police,https://www.pvestates.org/services/police-department/pve-police-department-policies,https://wayback.archive-it.org/16422/*/https://www.pvestates.org/services/police-department/pve-police-department-policies,https://www.pvestates.org/services/police-department/pve-police-department-policies,Not Available
SB978-386,Paradise Police Department,Paradise,Butte County,Police,https://www.townofparadise.com/police/page/paradise-police-department-policy-manual,https://wayback.archive-it.org/16422/*/https://www.townofparadise.com/police/page/paradise-police-department-policy-manual,https://www.townofparadise.com/sites/default/files/fileattachments/police_department/page/5521/ppd_policy_manual_2021.pdf,Not Available
SB978-388,Pasadena City College District Police Department,Pasadena,Los Angeles County,College/University,https://pasadena.edu/police-and-college-safety/index.php,https://wayback.archive-it.org/16422/*/https://pasadena.edu/police-and-college-safety/index.php,https://pasadena.edu/police-and-college-safety/docs/Pasadena_City_College_Police_and_Safety_Services-Policy_Manual.pdf?v=1.2,https://pasadena.edu/police-and-college-safety/docs/Pasadena_City_College_Police_and_Safety_Services-FTO_Manual-PDF.pdf?v=1.1
SB978-389,Pasadena Police Department,Pasadena,Los Angeles County,Police,https://www.cityofpasadena.net/police/,https://wayback.archive-it.org/16422/*/https://www.cityofpasadena.net/police/,https://www.cityofpasadena.net/police/wp-content/uploads/sites/28/Pasadena-PD-Policy-Manual.pdf,Not Available
SB978-390,Paso Robles Police Department,Paso Robles,San Luis Obispo County,Police,https://www.prcity.com/873/PRPD-Policy-Manual-and-Training,https://wayback.archive-it.org/16422/*/https://www.prcity.com/873/PRPD-Policy-Manual-and-Training,https://www.prcity.com/DocumentCenter/View/30749/12-15-2020_Paso_Robles_PD_Policy_Manual,https://www.prcity.com/873/PRPD-Policy-Manual-and-Training
SB978-392,Petaluma Police Department,Petaluma,Sonoma County,Police,https://cityofpetaluma.org/police-policies/,https://wayback.archive-it.org/16422/*/https://cityofpetaluma.org/police-policies/,https://cityofpetaluma.org/documents/petaluma-police-department-policy-manual/,Not Available
SB978-393,Piedmont Police Department,Piedmont,Alameda County,Police,https://www.ci.piedmont.ca.us/services___departments/police/transparency_portal,https://wayback.archive-it.org/16422/*/https://www.ci.piedmont.ca.us/services___departments/police/transparency_portal,https://www.ci.piedmont.ca.us/UserFiles/Servers/Server_13659739/File/PD_Policy_Manual_3_1_2021.pdf,https://www.ci.piedmont.ca.us/cms/one.aspx?portalId=13659823&pageId=16293489
SB978-394,Pinole Police Department,Pinole,Contra Costa County,Police,http://pinoleca.hosted.civiclive.com/city_government/police/resources,https://wayback.archive-it.org/16422/*/http://pinoleca.hosted.civiclive.com/city_government/police/resources,http://pinoleca.hosted.civiclive.com/UserFiles/Servers/Server_10946972/File/City%20Government/Police/Resources/SB%20978-Public%20Records/2020-01%20Policy%20Manual.pdf,http://pinoleca.hosted.civiclive.com/city_government/police/resources
SB978-395,Pismo Beach Police Department,Pismo Beach,San Luis Obispo County,Police,https://accesspismo.pismobeach.org/WebLink/Browse.aspx?id=239199&dbid=0&repo=Laserfiche&cr=1,https://wayback.archive-it.org/16422/*/https://accesspismo.pismobeach.org/WebLink/Browse.aspx?id=239199&dbid=0&repo=Laserfiche&cr=1,https://accesspismo.pismobeach.org/WebLink/DocView.aspx?id=260756&dbid=0&repo=Laserfiche,https://accesspismo.pismobeach.org/WebLink/DocView.aspx?id=245000&dbid=0&repo=Laserfiche
SB978-396,Pittsburg Police Department,Pittsburg,Contra Costa County,Police,http://www.ci.pittsburg.ca.us/index.aspx?page=1056,https://wayback.archive-it.org/16422/*/http://www.ci.pittsburg.ca.us/index.aspx?page=1056,http://www.ci.pittsburg.ca.us/Modules/ShowDocument.aspx?documentid=12115,Not Available
SB978-397,Placentia Police Department,Placentia,Orange County,Police,http://placentia.org/17/Police,https://wayback.archive-it.org/16422/*/http://placentia.org/17/Police,http://placentia.org/DocumentCenter/View/8317/Placentia-PD-Policy-Manual,Not Available
SB978-398,Placer County District Attorney,Roseville,Placer County,District Attorney,https://www.placer.ca.gov/2923/District-Attorney,https://wayback.archive-it.org/16422/*/https://www.placer.ca.gov/2923/District-Attorney,https://www.placer.ca.gov/DocumentCenter/View/42002/Policy-Manual?bidId=,Not Available
SB978-400,Placer County Sheriff's Department,Roseville,Placer County,Sheriff,https://www.placer.ca.gov/6269/Policies-and-Procedures,https://wayback.archive-it.org/16422/*/https://www.placer.ca.gov/6269/Policies-and-Procedures,https://www.placer.ca.gov/DocumentCenter/View/47917/General-Orders-R101320?bidId=,https://www.placer.ca.gov/6269/Policies-and-Procedures
SB978-401,Placerville Police Department,Placerville,El Dorado County,Police,https://www.cityofplacerville.org/police,https://wayback.archive-it.org/16422/*/https://www.cityofplacerville.org/police,https://www.cityofplacerville.org/media/Police/Policy%20Manual/RELEASE_20210325_T110424_Placerville_PD_Policy_Manual.pdf,Not Available
SB978-402,Pleasant Hill Police Department,Pleasant Hill,Contra Costa County,Police,http://www.ci.pleasant-hill.ca.us/1407/Pleasant-Hill-Police-Policy-Manual,https://wayback.archive-it.org/16422/*/http://www.ci.pleasant-hill.ca.us/1407/Pleasant-Hill-Police-Policy-Manual,http://www.ci.pleasant-hill.ca.us/DocumentCenter/View/18704/RELEASE-Policy-20191231-redacted?bidId=,http://www.ci.pleasant-hill.ca.us/1433/Department-Training
SB978-403,Pleasanton Police Services,Pleasanton,Alameda County,Police,https://www.cityofpleasantonca.gov/gov/depts/police/police_policy.asp,https://wayback.archive-it.org/16422/*/https://www.cityofpleasantonca.gov/gov/depts/police/police_policy.asp,https://www.cityofpleasantonca.gov/civicax/filebank/blobdload.aspx?BlobID=34496,https://www.cityofpleasantonca.gov/gov/depts/police/police_policy.asp
SB978-405,Plumas County Sheriff's Department,Quincy,Plumas County,Sheriff,https://plumascounty.us/587/Sheriff-Coroner,https://wayback.archive-it.org/16422/*/https://plumascounty.us/587/Sheriff-Coroner,https://plumascounty.us/DocumentCenter/View/25145/Plumas-SO-GO-9-08-15-Revised-900-from-Grant,Not Available
SB978-406,Pomona Police Department,Pomona,Los Angeles County,Police,https://www.pomonaca.gov/government/departments/police-department/transparency,https://wayback.archive-it.org/16422/*/https://www.pomonaca.gov/government/departments/police-department/transparency,https://www.pomonaca.gov/home/showpublisheddocument?id=464,https://www.pomonaca.gov/government/departments/police-department/transparency
SB978-408,Port Hueneme Police Department,Port Hueneme,Ventura County,Police,https://www.ci.port-hueneme.ca.us/1256/Policy-Manual,https://wayback.archive-it.org/16422/*/https://www.ci.port-hueneme.ca.us/1256/Policy-Manual,https://www.ci.port-hueneme.ca.us/DocumentCenter/View/2960/RELEASE_20190829_Port_Hueneme_PD_Policy_Manual-Web-Site-Version?bidId=,Not Available
SB978-410,Porterville Police Department,Porterville,Tulare County,Police,http://www.ci.porterville.ca.us/depts/Police/policies.cfm,https://wayback.archive-it.org/16422/*/http://www.ci.porterville.ca.us/depts/Police/policies.cfm,http://www.ci.porterville.ca.us/depts/Police/documents/PolicyManual.pdf,Not Available
SB978-411,Red Bluff Police Department,Red Bluff,Tehama County,Police,http://www.rbpd.org/vehiclerelease.php,https://wayback.archive-it.org/16422/*/http://www.rbpd.org/vehiclerelease.php,http://www.rbpd.org/vehiclerelease.php,http://www.rbpd.org/resources/PSP%20Driver%20Training%20-%20ECO.pdf
SB978-412,Redding Police Department,Redding,Shasta County,Police,https://www.cityofredding.org/departments/police-department/about-the-police-department/administrative-division/policy-manual,https://wayback.archive-it.org/16422/*/https://www.cityofredding.org/departments/police-department/about-the-police-department/administrative-division/policy-manual,https://www.cityofredding.org/departments/police-department/about-the-police-department/administrative-division/policy-manual,https://www.cityofredding.org/departments/police-department/about-the-police-department/administrative-division/policy-manual
SB978-413,Redlands Police Department,Redlands,San Bernardino County,Police,https://www.cityofredlands.org/rpd-training-material,https://wayback.archive-it.org/16422/*/https://www.cityofredlands.org/rpd-training-material,https://www.cityofredlands.org/sites/main/files/file-attachments/release_20200708_t154051_redlands_pd_policy_manual.pdf?1608584917,https://www.cityofredlands.org/sites/main/files/file-attachments/rpd_training_guide_1_-_13.pdf?1576798094
SB978-414,Redondo Beach Police Department,Redondo Beach,Los Angeles County,Police,https://www.redondo.org/depts/police/police_transparency/sb_978_documents.asp,https://wayback.archive-it.org/16422/*/https://www.redondo.org/depts/police/police_transparency/sb_978_documents.asp,https://www.redondo.org/civicax/filebank/blobdload.aspx?BlobID=38604,https://www.redondo.org/depts/police/police_transparency/sb_978_documents.asp
SB978-415,Redwood City Police Department,Redwood City,San Mateo County,Police,https://www.redwoodcity.org/departments/police-department/information/department-policies-published,https://wayback.archive-it.org/16422/*/https://www.redwoodcity.org/departments/police-department/information/department-policies-published,https://www.redwoodcity.org/Home/ShowDocument?id=22949,https://www.redwoodcity.org/departments/police-department/about-us/department-policies/police-department-training-documents
SB978-416,Reedley Police Department,Reedley,Fresno County,Police,https://reedley.ca.gov/police-department/policy-training/,https://wayback.archive-it.org/16422/*/https://reedley.ca.gov/police-department/policy-training/,https://reedley.ca.gov/download/police-department-policy-manual/?wpdmdl=10638&refresh=60259f6de07831613078381,https://reedley.ca.gov/download/field-training-program-manual/?wpdmdl=10674&refresh=60666e899a9421617325705
SB978-417,Rialto Police Department,Rialto,San Bernardino County,Police,https://rialtopolice.com/our-department,https://wayback.archive-it.org/16422/*/https://rialtopolice.com/our-department,https://rialtopolice.com/downloads/Rialto_PD_Policy_August_2020.pdf,Not Available
SB978-418,Richmond Police Department,Richmond,Contra Costa County,Police,https://www.ci.richmond.ca.us/3875/Policy-Manual,https://wayback.archive-it.org/16422/*/https://www.ci.richmond.ca.us/3875/Policy-Manual,https://www.ci.richmond.ca.us/DocumentCenter/View/51870/Policy-Manual-12312019,Not Available
SB978-419,Ridgecrest Police Department,Ridgecrest,Kern County,Police,https://www.ridgecrest-ca.gov/327/Police-Department,https://wayback.archive-it.org/16422/*/https://www.ridgecrest-ca.gov/327/Police-Department,https://www.ridgecrest-ca.gov/DocumentCenter/View/6221/RPD-Policy-and-Procedure-Manual,Not Available
